SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2640 Lake Shore Dr #2112,Riviera Beach,FL,33404,829000,2,2.0,Marina Grande Riviera Beach Condo,1716,155128,2007,86,483,1150,Active,,,https://www.redfin.com/FL/Riviera-Beach/2640-Lake-Shore-Dr-33404/unit-2112/home/42658252,Beaches MLS,RX-10893045,N,Y,26.784161,-80.0483841
MLS Listing,,Single Family Residential,511 Saturn Ln,Juno Beach,FL,33408,2900000,3,3.0,Sea Dunes,2601,7312,2004,87,1115,,Active,,,https://www.redfin.com/FL/Juno-Beach/511-Saturn-Ln-33408/home/42388637,Beaches MLS,RX-10892839,N,Y,26.8827984,-80.0548457
MLS Listing,,Townhouse,1617 NE 5th St,Fort Lauderdale,FL,33301,1099000,3,3.5,Victoria Park,2420,,2002,88,454,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/1617-NE-5th-St-33301/home/42012572,MARMLS,A11390531,N,Y,26.1287179,-80.1266431
MLS Listing,,Single Family Residential,660 NE 57th Ct,Oakland Park,FL,33334,470000,3,2.0,Collier Estates 3rd Add 4,998,6007,1959,106,471,,Active,,,https://www.redfin.com/FL/Oakland-Park/660-NE-57th-Ct-33334/home/41646517,Beaches MLS,F10379621,N,Y,26.1980329,-80.1377773
MLS Listing,,Condo/Co-op,11 Colonial Club Dr #304,Boynton Beach,FL,33435,269900,2,2.0,Colonial Club Condo,1200,,1973,107,225,796,Active,,,https://www.redfin.com/FL/Boynton-Beach/11-Colonial-Club-Dr-33435/unit-304/home/42348201,Beaches MLS,RX-10887709,N,Y,26.5020772,-80.0592987
MLS Listing,,Condo/Co-op,6770 Indian Creek Dr Unit 5A,Miami Beach,FL,33141,318000,1,1.5,AQUASOL CONDO,910,,1968,108,349,697,Active,,,https://www.redfin.com/FL/Miami-Beach/6770-Indian-Creek-Dr-33141/unit-5A/home/43293335,MARMLS,A11379345,N,Y,25.8515759,-80.1226631
MLS Listing,,Condo/Co-op,1030 Us Highway 1 #309,North Palm Beach,FL,33408,389000,2,2.0,Marina Bay Condo,1369,,1981,114,284,725,Active,,,https://www.redfin.com/FL/North-Palm-Beach/1030-US-Highway-1-33408/unit-309/home/42475959,Beaches MLS,RX-10885630,N,Y,26.829658,-80.059959
MLS Listing,,Condo/Co-op,1009 N Ocean Blvd #306,Pompano Beach,FL,33062,385000,2,2.0,Tradewinds OF Pompano Condo,947,,1974,126,407,600,Active,,,https://www.redfin.com/FL/Pompano-Beach/1009-N-Ocean-Blvd-33062/unit-306/home/41526181,Beaches MLS,RX-10882244,N,Y,26.2470423,-80.0874082
MLS Listing,,Condo/Co-op,1455 Ocean Dr #610,Miami Beach,FL,33139,1999000,2,2.5,IL VILLAGGIO ON SOUTH BEA,1450,,1998,223,1379,2272,Active,,,https://www.redfin.com/FL/Miami-Beach/1455-Ocean-Dr-33139/unit-610/home/42800981,MARMLS,A11320135,N,Y,25.7873417,-80.129359
MLS Listing,,Condo/Co-op,250 NW 107th Ave #204,Miami,FL,33172,310000,2,2.0,LAGUNA CLUB EAST CONDO,1114,,1974,1,278,230,Active,,,https://www.redfin.com/FL/Miami/250-NW-107th-Ave-33172/unit-204/home/43058543,MARMLS,A11321976,N,Y,25.7717781,-80.3695817
MLS Listing,,Vacant Land,0 NW 2nd St,Live Oak,FL,32064,12000,,,,,18295,,6,,,Active,,,https://www.redfin.com/FL/Unknown/Nw-2nd-St-Unknown/home/160825277,CPARMLS,745229,N,Y,26.00869,-80.428373
MLS Listing,,Condo/Co-op,3912 NE 22nd Ave Unit 8B,Fort Lauderdale,FL,33308,174000,1,1.0,,600,,1960,27,290,400,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/3912-NE-22nd-Ave-33308/unit-B8/home/41668976,CPARMLS,744321,N,Y,26.1769875,-80.1173627
MLS Listing,,Multi-Family (2-4 Unit),3093 Saranac Ave,West Palm Beach,FL,33409,520000,4,2.0,West Gate Estates Northern,1768,9066,1974,1,294,,Active,,,https://www.redfin.com/FL/West-Palm-Beach/3093-Saranac-Ave-33409/home/42288383,Beaches MLS,RX-10913282,N,Y,26.7000694,-80.088169
MLS Listing,,Condo/Co-op,1625 Kennedy Cswy Ph 106,North Bay Village,FL,33141,419000,1,1.0,BAYVIEW CONDO AT NORTH BA,932,,2003,1,450,558,Active,,,https://www.redfin.com/FL/North-Bay-Village/1625-Kennedy-Cswy-33141/unit-106/home/43308400,MARMLS,A11436882,N,Y,25.849151,-80.151648
MLS Listing,,Multi-Family (2-4 Unit),1361 NE 145th St,Miami,FL,33161,559900,,,Alexs Estates,2037,,1969,1,275,,Active,,,https://www.redfin.com/FL/Miami/1361-NE-145th-St-33161/home/43011650,Beaches MLS,F10395767,N,Y,25.9093505,-80.1721478
MLS Listing,,Condo/Co-op,3475 N Country Club Dr #514,Aventura,FL,33180,249000,1,1.0,ENSENADA CONDO BLDG E-II,741,,1971,1,336,454,Active,,,https://www.redfin.com/FL/Aventura/3475-N-Country-Club-Dr-33180/unit-514/home/42934694,MARMLS,A11439263,N,Y,25.9667675,-80.1307113
MLS Listing,,Condo/Co-op,121 NE 34 #1415,Miami,FL,33137,482500,1,1.5,3401 MIDTOWN CONDO,,,2018,1,,810,Active,,,https://www.redfin.com/FL/Miami/121-NE-34th-St-33137/unit-1415/home/79132004,MARMLS,A11439264,N,Y,25.8085388,-80.1922359
MLS Listing,,Single Family Residential,,Hialeah,FL,33018,547000,3,2.5,,1592,2358,2014,1,344,200,Active,,,https://www.redfin.com/FL/Hialeah/Undisclosed-address-33018/home/56399075,MARMLS,A11439235,N,Y,25.9046601,-80.3515745
MLS Listing,,Condo/Co-op,1401 NE Miami Gardens Dr #389,Miami,FL,33179,246000,2,1.0,FIFITH MOORINGS CONDO,1067,,1969,1,231,700,Active,,,https://www.redfin.com/FL/Miami/1401-NE-Miami-Gardens-Dr-33179/unit-389/home/43007533,MARMLS,A11439260,N,Y,25.9454266,-80.1726409
MLS Listing,,Single Family Residential,898 NW 7th St,Boca Raton,FL,33486,1020000,3,2.0,Tunison Palms Sec 02,7389,7389,1968,1,138,,Active,,,https://www.redfin.com/FL/Boca-Raton/898-NW-7th-St-33486/home/42318662,Beaches MLS,F10396251,N,Y,26.3569328,-80.1042671
MLS Listing,,Single Family Residential,1201 F Rd,Loxahatchee,FL,33470,2285000,5,5.5,Loxahatchee Groves,4196,217800,2000,1,545,,Active,,,https://www.redfin.com/FL/Loxahatchee/1201-F-Rd-33470/home/184868449,Beaches MLS,RX-10913278,N,Y,26.6951384,-80.2593349
MLS Listing,,Condo/Co-op,5601 Collins Ave #504,Miami Beach,FL,33140,785000,1,1.5,THE PAVILION CONDO,930,,1968,1,844,849,Active,,,https://www.redfin.com/FL/Miami-Beach/5601-Collins-Ave-33140/unit-504/home/42779234,MARMLS,A11439255,N,Y,25.8368872,-80.1203134
MLS Listing,,Single Family Residential,13501 Carrick Green Ct,Delray Beach,FL,33446,679000,3,2.0,POLO TRACE 2 1,2012,5500,1998,1,337,575,Active,,,https://www.redfin.com/FL/Delray-Beach/13501-Carrick-Green-Ct-33446/home/42212355,MARMLS,A11439113,N,Y,26.4769062,-80.1641921
MLS Listing,,Single Family Residential,1019 Grand Ct,Highland Beach,FL,33487,4799999,6,6.0,Grand Cay Estates,5980,13943,1999,1,803,308,Active,August-26-2023 12:00 PM,August-26-2023 02:00 PM,https://www.redfin.com/FL/Highland-Beach/1019-Grand-Ct-33487/home/42392307,Beaches MLS,RX-10913275,N,Y,26.3943113,-80.0676778
MLS Listing,,Single Family Residential,2621 W Abiaca Cir,Davie,FL,33328,949900,4,2.0,FOREST RIDGE SINGLE FAMIL,2887,9525,1998,1,329,320,Active,,,https://www.redfin.com/FL/Davie/2621-W-Abiaca-Cir-33328/home/41775176,MARMLS,A11439251,N,Y,26.0891998,-80.2810682
MLS Listing,,Single Family Residential,1213 La Mancha Ave,Coral Gables,FL,33134,1190000,3,3.0,CORAL GABLES GRANADA SEC,1339,5000,1925,1,889,,Pre On-Market,,,https://www.redfin.com/FL/Coral-Gables/1213-La-Mancha-Ave-33134/home/42807594,MARMLS,A11439024,N,Y,25.7619727,-80.2797741
MLS Listing,,Single Family Residential,9775 Savona Winds Dr,Delray Beach,FL,33446,849000,4,2.5,Saturnia Isles,2767,8151,2003,1,307,388,Active,,,https://www.redfin.com/FL/Delray-Beach/9775-Savona-Winds-Dr-33446/home/42570028,Beaches MLS,RX-10913274,N,Y,26.4426279,-80.2017594
MLS Listing,,Condo/Co-op,44 Piedmont A,Delray Beach,FL,33484,262000,2,2.0,Kings Point,1023,,1980,1,256,539,Active,,,https://www.redfin.com/FL/Delray-Beach/44-Piedmont-a-33484/home/42229103,Beaches MLS,RX-10909598,N,Y,26.4442891,-80.1433768
MLS Listing,,Condo/Co-op,6432 Aspen Glen Cir,Boynton Beach,FL,33437,339000,2,2.0,Indian Springs - Aspen Glen Condo,1608,,1985,1,211,695,Active,,,https://www.redfin.com/FL/Boynton-Beach/6432-Aspen-Glen-Cir-33437/home/42204853,Beaches MLS,RX-10912853,N,Y,26.511396,-80.144239
MLS Listing,,Condo/Co-op,155 E Boca Raton Rd #313,Boca Raton,FL,33432,975000,2,2.0,Tower 155,1151,,2020,1,847,1342,Active,,,https://www.redfin.com/FL/Boca-Raton/155-E-Boca-Raton-Rd-33432/unit-313/home/178023324,Beaches MLS,RX-10910202,N,Y,26.3516359,-80.0844376
MLS Listing,,Condo/Co-op,21175 Clubside Dr Unit C,Boca Raton,FL,33434,750000,3,2.5,Clubside,2483,,1989,1,302,1318,Active,,,https://www.redfin.com/FL/Boca-Raton/21175-Clubside-Dr-33434/unit-C/home/42256192,Beaches MLS,RX-10911779,N,Y,26.379116,-80.1544374
MLS Listing,,Single Family Residential,1191 SW 16th St,Boca Raton,FL,33486,1130000,4,2.5,Palm Beach Farms CO 10,2216,11250,1955,1,510,,Active,,,https://www.redfin.com/FL/Boca-Raton/1191-SW-16th-St-33486/home/42315146,Beaches MLS,RX-10912290,N,Y,26.334064,-80.1100114
MLS Listing,,Single Family Residential,200 NE 22nd St,Wilton Manors,FL,33305,2599000,4,3.5,Wilton Manors / Petite,3375,6249,2020,1,770,,Active,,,https://www.redfin.com/FL/Wilton-Manors/200-NE-22nd-St-33305/home/41675081,Beaches MLS,RX-10912941,N,Y,26.1557153,-80.1430764
MLS Listing,,Single Family Residential,6176 Willoughby Cir,Lake Worth,FL,33463,579900,4,2.5,Willoughby Farms,2145,4953,2001,1,270,171,Active,,,https://www.redfin.com/FL/Lake-Worth/6176-Willoughby-Cir-33463/home/42540531,Beaches MLS,RX-10913219,N,Y,26.5856868,-80.1186011
MLS Listing,,Condo/Co-op,2000 Springdale Blvd #309,Palm Springs,FL,33461,150000,1,1.0,Village Green 4 Condo,690,,1985,1,217,270,Active,,,https://www.redfin.com/FL/Palm-Springs/2000-Springdale-Blvd-33461/unit-309/home/42483492,Beaches MLS,RX-10913091,N,Y,26.6455125,-80.1020771
MLS Listing,,Townhouse,555 Banyan Tree Ln #11,Delray Beach,FL,33483,975000,3,3.0,Banyan Tree Village Condo,1600,,1979,1,609,700,Active,,,https://www.redfin.com/FL/Delray-Beach/555-Banyan-Tree-Ln-33483/unit-11/home/42369550,Beaches MLS,RX-10910767,N,Y,26.4421794,-80.0686186
MLS Listing,,Condo/Co-op,801 S Olive Ave #202,West Palm Beach,FL,33401,560000,1,1.5,One City Plaza Condo,1172,,2006,1,478,911,Active,,,https://www.redfin.com/FL/West-Palm-Beach/801-S-Olive-Ave-33401/unit-202/home/42613333,Beaches MLS,RX-10912897,N,Y,26.70582,-80.0524882
MLS Listing,,Single Family Residential,124 Viera Dr,Palm Beach Gardens,FL,33418,1999000,3,3.5,Mirasol Riviera,3270,8214,2006,1,611,940,Active,,,https://www.redfin.com/FL/Palm-Beach-Gardens/124-Viera-Dr-33418/home/42653417,Beaches MLS,RX-10912710,N,Y,26.8478384,-80.1400046
MLS Listing,,Condo/Co-op,33 Crossings Cir Unit F,Boynton Beach,FL,33435,150000,2,2.0,Crossings OF Boynton Beach Condo,953,,1984,1,157,380,Active,,,https://www.redfin.com/FL/Boynton-Beach/33-Crossings-Cir-33435/unit-F/home/42335846,Beaches MLS,RX-10913110,N,Y,26.5515471,-80.0582291
MLS Listing,,Single Family Residential,3139 Emerson Ave,Palm Springs,FL,33461,398000,3,1.0,Congress Park Add 2,988,8625,1957,1,403,,Active,,,https://www.redfin.com/FL/Palm-Springs/3139-Emerson-Ave-33461/home/42286031,Beaches MLS,RX-10913028,N,Y,26.6355172,-80.0907031
MLS Listing,,Single Family Residential,6768 Las Colinas St,Lake Worth,FL,33463,700000,4,2.0,Winston Trails Par 6,1953,7150,1996,1,358,234,Active,,,https://www.redfin.com/FL/Lake-Worth/6768-Las-Colinas-St-33463/home/42628018,Beaches MLS,RX-10912960,N,Y,26.5858096,-80.1368613
MLS Listing,,Condo/Co-op,12731 SW 49th Ct #12731,Miramar,FL,33027,480000,3,2.5,Bellagio At Vizcaya,1600,,2003,1,300,188,Pre On-Market,,,https://www.redfin.com/FL/Miramar/12731-SW-49th-Ct-33027/unit-12731/home/104343072,Beaches MLS,F10396247,N,Y,25.9636256,-80.3145645
MLS Listing,,Condo/Co-op,111 NW 2nd Ave Bldg 6,Hallandale Beach,FL,33009,339000,2,2.5,HIGHLAND PARK VILLAGE CON,1111,,2011,1,305,342,Active,,,https://www.redfin.com/FL/Hallandale-Beach/111-Nw-2nd-Ave-33009/unit-6/home/42076637,MARMLS,A11439093,N,Y,25.987234,-80.150581
MLS Listing,,Single Family Residential,2576 San Andros,West Palm Beach,FL,33411,649000,5,3.5,Andros Isle Par D-1,2854,5477,2000,1,227,316,Active,,,https://www.redfin.com/FL/Royal-Palm-Beach/2576-San-Andros-33411/home/42505612,Beaches MLS,RX-10913269,N,Y,26.7170274,-80.1771377
MLS Listing,,Condo/Co-op,15551 SW 104th Ter #8211,Miami,FL,33196,250000,1,1.0,BISCAYNE BEACH CLUB CONDO,588,,1989,1,425,270,Active,,,https://www.redfin.com/FL/Miami/15551-SW-104th-Ter-33196/unit-8211/home/43382139,MARMLS,A11427570,N,Y,25.6688832,-80.4478632
MLS Listing,,Single Family Residential,9207 Chianti Ct,Boynton Beach,FL,33472,830000,4,3.0,RAINBOW LAKES TR A - ONE,3257,8050,1994,1,255,97,Active,,,https://www.redfin.com/FL/Boynton-Beach/9207-Chianti-Ct-33472/home/42196349,MARMLS,A11434875,N,Y,26.539905,-80.1347896
MLS Listing,,Single Family Residential,6423 NW 110th Ave,Parkland,FL,33076,799999,4,3.0,Parkland Isles 164-42 B,2136,6629,2000,1,375,317,Active,,,https://www.redfin.com/FL/Parkland/6423-NW-110th-Ave-33076/home/41403593,Beaches MLS,F10393188,N,Y,26.3100129,-80.2745773
MLS Listing,,Single Family Residential,2206 Seagrape Cir,Coconut Creek,FL,33066,449999,2,2.0,Tartan Coconut Creek Ph 1,1522,7240,1981,1,296,257,Active,,,https://www.redfin.com/FL/Coconut-Creek/2206-Seagrape-Cir-33066/home/41492789,Beaches MLS,F10394414,N,Y,26.2580785,-80.1781995
MLS Listing,,Single Family Residential,1180 Bay Dr,Miami Beach,FL,33141,6500000,4,3.0,Ocean Side Sec Isle Norma,2438,13950,1956,1,2666,,Active,,,https://www.redfin.com/FL/Miami-Beach/1180-Bay-Dr-33141/home/42770955,Beaches MLS,F10395326,N,Y,25.8524854,-80.1309319
MLS Listing,,Condo/Co-op,8701 SW 12 St #24,Miami,FL,33174,275000,2,1.5,WESTCHESTER TERRACE CONDO,,,1971,1,,270,Active,,,https://www.redfin.com/FL/Miami/8701-SW-12th-St-33174/unit-24/home/43058329,MARMLS,A11412949,N,Y,25.7588809,-80.3367995
MLS Listing,,Single Family Residential,16302 SW 30th St,Miramar,FL,33027,799500,4,4.0,NORTH 29 ASSOC,2707,8965,2002,1,295,256,Active,,,https://www.redfin.com/FL/Miramar/16302-SW-30th-St-33027/home/42004603,MARMLS,A11439180,N,Y,25.9810954,-80.3620472
MLS Listing,,Single Family Residential,12601 Copper Mountain Pass,Boynton Beach,FL,33473,1250000,3,3.0,Valenciacoveagrpudsouthpl 3,2309,14279,2017,1,541,707,Active,,,https://www.redfin.com/FL/Boynton-Beach/12601-Copper-Mountain-Pass-33473/home/144740451,Beaches MLS,RX-10913266,N,Y,26.4891103,-80.1813347
MLS Listing,,Single Family Residential,13275 NW 3rd Ln,Miami,FL,33182,525000,3,2.0,SUPERIOR HOMES SEC 2,1204,4500,1983,1,436,,Active,,,https://www.redfin.com/FL/Miami/13275-NW-3rd-Ln-33182/home/43097932,MARMLS,A11439000,N,Y,25.7709555,-80.4111518
MLS Listing,,Single Family Residential,5317 NE 19th Ter,Pompano Beach,FL,33064,375000,2,1.0,Pompano Beach Highlands 2nd Sec,828,7500,1955,1,453,,Active,,,https://www.redfin.com/FL/Pompano-Beach/5317-NE-19th-Ter-33064/home/41509074,Beaches MLS,RX-10913261,N,Y,26.2962508,-80.0975542
MLS Listing,,Single Family Residential,11350 SW 244th Ter,Homestead,FL,33032,425000,4,2.0,MANGUS SUB SEC 2,1553,6027,2003,1,274,,Active,,,https://www.redfin.com/FL/Homestead/11350-SW-244th-Ter-33032/home/43283227,MARMLS,A11439234,N,Y,25.5402112,-80.3756298
MLS Listing,,Townhouse,8025 NW 29th St,Sunrise,FL,33322,389900,3,2.5,Fairways Of Sunrise,1281,,1986,1,304,254,Active,,,https://www.redfin.com/FL/Sunrise/8025-NW-29th-St-33322/home/41604586,Beaches MLS,F10396237,N,Y,26.160978,-80.251655
MLS Listing,,Condo/Co-op,21211 Lago Cir Unit 11-B,Boca Raton,FL,33433,322000,2,2.0,Fairways OF Boca Lago Condo,1336,,1978,1,241,560,Active,,,https://www.redfin.com/FL/Boca-Raton/21211-Lago-Cir-33433/unit-11-B/home/104348286,Beaches MLS,RX-10913257,N,Y,26.3592334,-80.1756927
MLS Listing,,Townhouse,7604 Lexington Club Blvd Unit A,Delray Beach,FL,33446,510000,3,2.0,Lexington Club,1657,3222,1989,1,308,755,Active,,,https://www.redfin.com/FL/Delray-Beach/7604-Lexington-Club-Blvd-33446/unit-A/home/42226660,Beaches MLS,RX-10913256,N,Y,26.4491148,-80.1658598
MLS Listing,,Single Family Residential,164 NE 30th St,Wilton Manors,FL,33334,800000,3,2.0,Almar Estates Resub 32-36,1590,6498,1960,1,503,,Pre On-Market,,,https://www.redfin.com/FL/Wilton-Manors/164-NE-30th-St-33334/home/41676245,Beaches MLS,F10396217,N,Y,26.1648684,-80.1436652
MLS Listing,,Single Family Residential,1812 NW 15th Ct,Fort Lauderdale,FL,33311,465000,3,2.0,LAUDERDALE MANORS AMD PLA,1116,10128,1954,1,417,,Pre On-Market,,,https://www.redfin.com/FL/Fort-Lauderdale/1812-NW-15th-Ct-33311/home/41686127,MARMLS,A11439224,N,Y,26.1454488,-80.166864
MLS Listing,,Townhouse,16008 NW 91st Ct,Miami Lakes,FL,33018,589000,3,2.5,DUNNWOODY LAKE,1743,,2018,1,338,215,Active,,,https://www.redfin.com/FL/Hialeah/16008-NW-91st-Ct-33018/home/145577190,MARMLS,A11439217,N,Y,25.919332,-80.34918
MLS Listing,,Single Family Residential,4826 Sunkist Way,Cooper City,FL,33330,1520000,5,3.5,HIBBS GROVE PLANTATION,3876,24000,2003,1,392,427,Active,,,https://www.redfin.com/FL/Cooper-City/4826-Sunkist-Way-33330/home/42003044,MARMLS,A11439210,N,Y,26.06078,-80.3016801
MLS Listing,,Townhouse,89 Deer Crk Unit K111,Deerfield Beach,FL,33442,350000,2,2.0,Deer Creek Racquet Club,,,1978,1,,465,Active,,,https://www.redfin.com/FL/Deerfield-Beach/89-Deer-Creek-Rd-33442/unit-K111/home/104423155,Beaches MLS,F10396234,N,Y,26.3184924,-80.1456865
MLS Listing,,Condo/Co-op,109 Wellington E,West Palm Beach,FL,33417,262500,2,2.0,Century Village -wellington Condos,1062,,1971,1,247,545,Active,,,https://www.redfin.com/FL/West-Palm-Beach/109-Wellington-E-33417/home/42156823,Beaches MLS,RX-10913252,N,Y,26.7102106,-80.129903
MLS Listing,,Townhouse,2521 Juniper Dr Unit A,Delray Beach,FL,33445,235000,2,2.0,Pines OF Delray,1327,,1976,1,177,469,Active,,,https://www.redfin.com/FL/Delray-Beach/2521-Juniper-Dr-33445/unit-A/home/162584374,Beaches MLS,RX-10913253,N,Y,26.442954,-80.099403
MLS Listing,,Condo/Co-op,11 Lexington Ln E Unit D,Palm Beach Gardens,FL,33418,465000,2,2.0,Lexington Green Condo,1400,,1984,1,332,422,Active,,,https://www.redfin.com/FL/Palm-Beach-Gardens/11-Lexington-Ln-E-33418/unit-D/home/42453403,Beaches MLS,RX-10913251,N,Y,26.8143823,-80.1371872
MLS Listing,,Condo/Co-op,,Aventura,FL,33160,249000,1,1.5,,873,,1971,1,285,768,Active,,,https://www.redfin.com/FL/Aventura/Undisclosed-address-33160/home/42943540,MARMLS,A11438924,N,Y,25.9439079,-80.1451445
MLS Listing,,Condo/Co-op,9330 Lime Bay Blvd #109,Tamarac,FL,33321,85000,1,1.5,Lime Bay Condominium 8,750,,1974,1,113,394,Active,,,https://www.redfin.com/FL/Tamarac/9330-Lime-Bay-Blvd-33321/unit-109/home/41555511,Beaches MLS,F10396171,N,Y,26.2057032,-80.2767268
MLS Listing,,Single Family Residential,13068 NW 9th Ter,Miami,FL,33182,799000,4,3.5,SHOMA HOMES AT TAMIAMI IV,2563,5915,1998,1,312,,Active,,,https://www.redfin.com/FL/Miami/13068-NW-9th-Ter-33182/home/43048127,MARMLS,A11437204,N,Y,25.7785535,-80.4068741
MLS Listing,,Condo/Co-op,121 NE 34th St #2315,Miami,FL,33137,490000,1,1.5,3401 MIDTOWN CONDO,621,,2018,1,789,712,Active,,,https://www.redfin.com/FL/Miami/121-NE-34th-St-33137/unit-2315/home/79131988,MARMLS,A11431728,N,Y,25.8085388,-80.1922359
MLS Listing,,Single Family Residential,15112 SW 141st Pl,Miami,FL,33186,529900,3,2.0,COUNTRY WALK SEC 2,1249,4400,1980,1,424,214,Active,,,https://www.redfin.com/FL/Miami/15112-SW-141st-Pl-33186/home/43199872,MARMLS,A11439211,N,Y,25.6267443,-80.4224036
MLS Listing,,Single Family Residential,250 NW 112th Ter,Miami Shores,FL,33168,1050000,3,2.0,NEW MIAMI SHORES ESTATES,1319,7500,1955,1,796,,Active,,,https://www.redfin.com/FL/Miami-Shores/250-NW-112th-Ter-33168/home/42897944,MARMLS,A11438851,N,Y,25.8779807,-80.2032194
MLS Listing,,Single Family Residential,1990 NE 35th St,Lighthouse Point,FL,33064,699000,3,2.0,LIGHTHOUSE POINT EXT,1539,7500,1958,1,454,,Active,,,https://www.redfin.com/FL/Lighthouse-Point/1990-NE-35th-St-33064/home/41523617,MARMLS,A11439202,N,Y,26.2739591,-80.0960269
MLS Listing,,Condo/Co-op,2350 NE 14th Street Cswy #315,Pompano Beach,FL,33062,319000,2,2.0,Garden Aire Village,1080,,1969,1,295,428,Active,,,https://www.redfin.com/FL/Pompano-Beach/2350-NE-14th-Street-Cswy-33062/unit-315/home/41522229,Beaches MLS,F10396220,N,Y,26.2497751,-80.0991918
MLS Listing,,Townhouse,"2936 Kirk Rd, Rd",Lake Worth,FL,33461,342000,3,2.5,Kirkwood,1586,,1980,1,216,345,Active,,,https://www.redfin.com/FL/Lake-Worth-Beach/2936-Kirk-Rd-33461/home/42286469,Beaches MLS,RX-10913241,N,Y,26.633792,-80.103905
MLS Listing,,Single Family Residential,11355 NW 57th Ln,Doral,FL,33178,510000,4,3.5,DORAL NORTHEAST TOWNHOMES,1808,1474,2001,1,282,180,Active,,,https://www.redfin.com/FL/Doral/11355-NW-57th-Ln-33178/home/43023824,MARMLS,A11439154,N,Y,25.8257991,-80.3811711
MLS Listing,,Condo/Co-op,17975 Collins Ave #1202,Sunny Isles Beach,FL,33160,11200000,4,5.5,Estates at Acqualina,4385,,2023,1,2554,7820,Active,,,https://www.redfin.com/FL/Sunny-Isles-Beach/17975-Collins-Ave-33160/unit-1202/home/183056573,MARMLS,A11439174,N,Y,25.9429683,-80.121132
MLS Listing,,Single Family Residential,4785 San Fratello Cir,,FL,33467,800000,3,2.0,Fields At Gulfstream Polo,1758,5188,2019,1,455,269,Active,,,https://www.redfin.com/FL/Lake-Worth/4785-San-Fratello-Cir-33467/home/171454336,Beaches MLS,F10396188,N,Y,26.6084179,-80.1781123
MLS Listing,,Condo/Co-op,5099 Splendido Ct Unit V,Boynton Beach,FL,33437,277500,3,2.0,"Excellente Village A,b,c,d,f, & G Condo",1333,,1993,1,208,749,Active,,,https://www.redfin.com/FL/Boynton-Beach/5099-Splendido-Ct-33437/unit-V/home/42200820,Beaches MLS,RX-10913238,N,Y,26.5325791,-80.1258476
MLS Listing,,Condo/Co-op,1204 Renaissance Way,Boynton Beach,FL,33426,324900,2,2.0,San Raphael Condo,1164,,2006,1,279,597,Active,,,https://www.redfin.com/FL/Boynton-Beach/1204-Renaissance-Way-33426/home/186926571,Beaches MLS,RX-10913236,N,Y,26.5417461,-80.0894686
MLS Listing,,Townhouse,5220 Gate Lake Rd #5220,Tamarac,FL,33319,355000,3,2.5,The Villas At The Gate,2040,,1981,1,174,463,Active,,,https://www.redfin.com/FL/Tamarac/5220-Gate-Lake-Rd-33319/unit-5220/home/41565022,Beaches MLS,F10396213,N,Y,26.198012,-80.2203092
MLS Listing,,Condo/Co-op,4344 NW 9th Ave Unit 11-3A,Deerfield Beach,FL,33064,215000,2,2.0,Heritage Circle,1040,,1987,1,207,450,Active,,,https://www.redfin.com/FL/Deerfield-Beach/4344-NW-9th-Ave-33064/unit-11-3A/home/41481550,Beaches MLS,F10394114,N,Y,26.283701,-80.134083
MLS Listing,,Single Family Residential,20795 SW 129 Ct,Miami,FL,33177,675000,4,2.0,MED SOUTH,1914,8097,2001,1,353,,Active,,,https://www.redfin.com/FL/Miami/20795-SW-129th-Ct-33177/home/43224161,MARMLS,A11438446,N,Y,25.5736475,-80.4016615
MLS Listing,,Single Family Residential,1831 N 56th Ave,Hollywood,FL,33021,839900,4,2.0,Hollywood Hills Amen Plat,1678,9350,1969,1,501,,Active,,,https://www.redfin.com/FL/Hollywood/1831-N-56th-Ave-33021/home/41925090,Beaches MLS,RX-10913232,N,Y,26.0266198,-80.1998608
MLS Listing,,Single Family Residential,2313 NW 59th St,Boca Raton,FL,33496,6850000,7,9.5,Bermuda Run Arvida Country Club,9914,40075,1988,1,691,1946,Active,,,https://www.redfin.com/FL/Boca-Raton/2313-NW-59th-St-33496/home/42300168,Beaches MLS,RX-10908158,N,Y,26.4016652,-80.1304527
MLS Listing,,Condo/Co-op,7350 SW 89th St Unit 711S,Miami,FL,33156,319900,1,1.0,TOSCANO CONDO,759,,2007,1,421,732,Active,,,https://www.redfin.com/FL/Miami/7350-SW-89th-St-33156/unit-711S/home/43373858,MARMLS,A11439189,N,Y,25.687519,-80.314608
